added_dead_links,centroids,hss_links,num_chips,num_cores,saturation_point
6,3,False,60.0,1008.0,265470.0
5,3,False,60.0,1009.0,250500.0
6,3,True,64.0,1073.0,190620.0
5,3,True,62.0,1041.0,160680.0
8,None,False,64.0,1076.0,260480.0
8,None,True,64.0,1075.0,135730.0
7,3,True,64.0,1076.0,130740.0
9,None,True,64.0,1075.0,110780.0
10,3,True,64.0,1075.0,105790.0
9,3,False,64.0,1076.0,240520.0
9,None,False,59.0,993.0,200600.0
10,None,True,60.0,1009.0,115770.0
0,None,False,62.0,1041.0,220560.0
10,None,False,60.0,1008.0,200600.0
8,3,True,59.0,991.0,130740.0
9,3,True,63.0,1062.0,120760.0
0,None,True,64.0,1074.0,270460.0
0,3,True,64.0,1076.0,265470.0
0,3,False,64.0,1074.0,290420.0
1,None,False,60.0,1006.0,275450.0
1,None,True,63.0,1060.0,270460.0
1,3,False,64.0,1074.0,295410.0
1,3,True,64.0,1076.0,290420.0
3,None,False,59.0,991.0,250500.0
4,None,True,60.0,1006.0,260480.0
3,3,False,64.0,1075.0,290420.0
2,None,True,62.0,1041.0,190620.0
3,None,True,63.0,1062.0,240520.0
2,None,False,59.0,993.0,220560.0
2,3,True,60.0,1008.0,265470.0
2,3,False,60.0,1009.0,270460.0
4,None,False,64.0,1075.0,305390.0
3,3,True,64.0,1076.0,240520.0
4,3,False,64.0,1075.0,310380.0
5,None,False,64.0,1076.0,230540.0
4,3,True,64.0,1073.0,225550.0
5,3,True,64.0,1075.0,165670.0
7,None,True,64.0,1075.0,185630.0
7,3,False,64.0,1075.0,295410.0
7,None,False,60.0,1009.0,180640.0
6,None,False,61.0,1025.0,255490.0
5,None,True,59.0,991.0,200600.0
6,None,True,63.0,1062.0,190620.0
5,3,False,60.0,1006.0,260480.0
6,3,False,59.0,993.0,220560.0
6,3,True,60.0,1008.0,200600.0
7,3,True,63.0,1060.0,160680.0
8,None,True,64.0,1075.0,105790.0
8,None,False,64.0,1076.0,255490.0
8,3,True,64.0,1074.0,130740.0
8,3,False,64.0,1075.0,235530.0
9,None,False,64.0,1075.0,255490.0
10,None,True,59.0,993.0,105790.0
9,None,True,62.0,1041.0,105790.0
10,None,False,63.0,1062.0,230540.0
10,3,False,60.0,1006.0,230540.0
9,3,True,59.0,991.0,130740.0
10,3,True,60.0,1008.0,105790.0
9,3,False,60.0,1009.0,245510.0
0,None,False,64.0,1075.0,290420.0
0,None,True,64.0,1076.0,280440.0
0,3,False,64.0,1074.0,295410.0
1,None,False,64.0,1076.0,275450.0
1,None,True,64.0,1075.0,270460.0
0,3,True,64.0,1074.0,345310.0
3,None,True,63.0,1060.0,295410.0
2,None,True,59.0,991.0,195610.0
1,3,False,59.0,993.0,210580.0
2,3,False,60.0,1006.0,285430.0
2,3,True,60.0,1008.0,235530.0
3,None,False,63.0,1058.0,265470.0
2,None,False,63.0,1062.0,225550.0
1,3,True,62.0,1041.0,270460.0
3,3,False,64.0,1076.0,245510.0
3,3,True,64.0,1073.0,230540.0
4,None,False,63.0,1058.0,250500.0
4,None,True,64.0,1076.0,225550.0
4,3,False,64.0,1075.0,275450.0
5,None,False,59.0,991.0,250500.0
4,3,True,63.0,1059.0,225550.0
5,None,True,59.0,993.0,140720.0
6,None,True,60.0,1006.0,120760.0
6,None,False,60.0,1008.0,230540.0
7,None,False,64.0,1073.0,265470.0
6,3,True,64.0,1076.0,165670.0
5,3,True,63.0,1062.0,175650.0
5,3,False,63.0,1058.0,270460.0
6,3,False,62.0,1041.0,280440.0
7,None,True,64.0,1074.0,180640.0
7,3,False,64.0,1076.0,315370.0
7,3,True,64.0,1075.0,135730.0
8,None,False,59.0,991.0,175650.0
8,None,True,63.0,1060.0,110780.0
9,None,True,64.0,1073.0,110780.0
9,3,False,64.0,1076.0,215570.0
9,None,False,60.0,1006.0,300400.0
10,None,True,62.0,1041.0,100800.0
10,None,False,63.0,1062.0,185630.0
8,3,False,59.0,993.0,210580.0
8,3,True,60.0,1008.0,110780.0
9,3,True,63.0,1058.0,110780.0
10,3,False,64.0,1075.0,250500.0
0,None,True,59.0,991.0,235530.0
0,None,False,64.0,1075.0,365270.0
10,3,True,64.0,1076.0,100800.0
0,3,False,63.0,1060.0,305390.0
1,None,False,64.0,1076.0,285430.0
0,3,True,64.0,1072.0,275450.0
1,None,True,60.0,1006.0,330340.0
2,None,False,59.0,993.0,180640.0
2,None,True,60.0,1008.0,235530.0
2,3,True,64.0,1075.0,215570.0
1,3,False,62.0,1041.0,285430.0
2,3,False,63.0,1058.0,305390.0
1,3,True,63.0,1062.0,250500.0
3,None,False,59.0,991.0,240520.0
3,None,True,60.0,1009.0,195610.0
3,3,False,64.0,1075.0,255490.0
3,3,True,64.0,1075.0,260480.0
4,None,True,64.0,1075.0,225550.0
4,None,False,64.0,1076.0,260480.0
5,None,False,64.0,1076.0,225550.0
6,None,True,59.0,991.0,205590.0
5,None,True,59.0,993.0,210580.0
6,None,False,63.0,1062.0,200600.0
4,3,True,60.0,1006.0,245510.0
6,3,False,60.0,1009.0,250500.0
4,3,False,60.0,1008.0,265470.0
5,3,False,62.0,1041.0,205590.0
5,3,True,63.0,1058.0,200600.0
7,None,False,64.0,1075.0,255490.0
6,3,True,64.0,1075.0,220560.0
7,None,True,64.0,1076.0,180640.0
7,3,False,64.0,1074.0,210580.0
7,3,True,64.0,1075.0,145710.0
8,None,False,59.0,991.0,240520.0
9,None,False,60.0,1008.0,215570.0
8,None,True,59.0,993.0,150700.0
9,None,True,60.0,1006.0,125750.0
10,None,False,64.0,1075.0,255490.0
8,3,False,60.0,1009.0,245510.0
9,3,False,63.0,1058.0,255490.0
9,3,True,62.0,1041.0,95810.0
8,3,True,63.0,1062.0,145710.0
10,None,True,64.0,1076.0,125750.0
10,3,False,64.0,1076.0,320360.0
10,3,True,64.0,1075.0,120760.0
0,None,False,64.0,1075.0,290420.0
1,3,False,63.0,1059.0,280440.0
1,None,False,60.0,1006.0,300400.0
0,None,True,60.0,1008.0,240520.0
1,None,True,60.0,1009.0,230540.0
2,None,False,62.0,1041.0,250500.0
2,None,True,63.0,1062.0,220560.0
0,3,True,59.0,991.0,275450.0
0,3,False,59.0,993.0,210580.0
1,3,True,63.0,1058.0,295410.0
2,3,False,64.0,1075.0,260480.0
2,3,True,64.0,1076.0,215570.0
3,None,False,64.0,1075.0,285430.0
3,None,True,64.0,1076.0,220560.0
4,None,False,63.0,1060.0,270460.0
5,3,True,64.0,1075.0,200600.0
5,None,False,59.0,991.0,205590.0
4,None,True,60.0,1009.0,225550.0
6,None,False,64.0,1076.0,235530.0
6,None,True,64.0,1075.0,190620.0
3,3,True,60.0,1006.0,295410.0
3,3,False,60.0,1008.0,240520.0
4,3,False,62.0,1041.0,245510.0
5,3,False,63.0,1058.0,290420.0
4,3,True,63.0,1062.0,220560.0
6,3,False,64.0,1075.0,250500.0
6,3,True,59.0,993.0,120760.0
7,None,False,64.0,1075.0,225550.0
8,None,False,64.0,1076.0,290420.0
7,None,True,64.0,1075.0,150700.0
8,None,True,64.0,1075.0,135730.0
10,None,False,59.0,993.0,220560.0
9,None,True,62.0,1041.0,120760.0
9,None,False,63.0,1058.0,225550.0
7,3,False,59.0,991.0,275450.0
9,3,True,64.0,1075.0,105790.0
8,3,False,60.0,1008.0,235530.0
7,3,True,60.0,1009.0,125750.0
8,3,True,60.0,1006.0,120760.0
9,3,False,62.0,1045.0,215570.0
10,None,True,63.0,1060.0,120760.0
1,None,True,64.0,1075.0,265470.0
10,3,False,64.0,1075.0,270460.0
10,3,True,64.0,1076.0,120760.0
1,None,False,59.0,991.0,250500.0
0,None,True,59.0,993.0,195610.0
2,None,False,60.0,1006.0,295410.0
2,None,True,63.0,1062.0,235530.0
1,3,False,60.0,1008.0,230540.0
1,3,True,60.0,1009.0,230540.0
0,3,True,62.0,1041.0,255490.0
0,3,False,63.0,1058.0,315370.0
2,3,False,64.0,1075.0,305390.0
2,3,True,64.0,1075.0,250500.0
3,None,False,64.0,1074.0,285430.0
3,None,True,64.0,1076.0,285430.0
3,3,False,64.0,1076.0,295410.0
5,3,True,64.0,1075.0,185630.0
4,None,False,59.0,993.0,200600.0
4,None,True,60.0,1006.0,210580.0
5,None,True,60.0,1009.0,215570.0
5,None,False,62.0,1041.0,220560.0
6,None,False,64.0,1075.0,225550.0
3,3,True,59.0,991.0,265470.0
4,3,True,60.0,1008.0,200600.0
5,3,False,63.0,1058.0,295410.0
4,3,False,63.0,1062.0,235530.0
6,None,True,64.0,1075.0,175650.0
6,3,True,64.0,1076.0,200600.0
6,3,False,64.0,1076.0,250500.0
7,None,False,63.0,1060.0,255490.0
8,3,False,64.0,1075.0,280440.0
7,None,True,60.0,1006.0,140720.0
8,None,True,59.0,991.0,155690.0
8,None,False,62.0,1041.0,255490.0
9,None,False,63.0,1062.0,260480.0
9,None,True,63.0,1058.0,110780.0
7,3,False,59.0,993.0,185630.0
7,3,True,60.0,1009.0,195610.0
8,3,True,60.0,1008.0,140720.0
9,3,False,64.0,1076.0,220560.0
10,None,False,64.0,1076.0,270460.0
9,3,True,64.0,1076.0,115770.0
10,None,True,64.0,1075.0,110780.0
10,3,False,64.0,1074.0,275450.0
0,None,False,60.0,1006.0,280440.0
0,None,True,62.0,1041.0,245510.0
1,None,False,63.0,1062.0,250500.0
1,3,False,59.0,993.0,205590.0
10,3,True,59.0,991.0,105790.0
0,3,False,60.0,1009.0,235530.0
0,3,True,63.0,1058.0,330340.0
1,3,True,64.0,1075.0,265470.0
2,None,True,64.0,1076.0,230540.0
2,None,False,64.0,1075.0,245510.0
2,3,False,64.0,1075.0,240520.0
2,3,True,60.0,1008.0,195610.0
3,None,False,64.0,1075.0,270460.0
4,None,False,59.0,991.0,255490.0
3,None,True,60.0,1006.0,275450.0
4,None,True,59.0,993.0,210580.0
4,3,False,60.0,1009.0,225550.0
3,3,True,63.0,1062.0,285430.0
4,3,True,63.0,1058.0,245510.0
3,3,False,62.0,1041.0,270460.0
6,None,False,60.0,1008.0,225550.0
6,None,True,64.0,1075.0,185630.0
5,None,True,64.0,1076.0,170660.0
5,3,True,64.0,1075.0,190620.0
5,3,False,64.0,1076.0,230540.0
6,3,False,64.0,1075.0,260480.0
7,None,True,59.0,993.0,150700.0
7,None,False,60.0,1006.0,270460.0
8,None,False,62.0,1041.0,230540.0
8,None,True,63.0,1062.0,115770.0
6,3,True,59.0,991.0,205590.0
7,3,False,60.0,1009.0,250500.0
7,3,True,63.0,1058.0,195610.0
8,3,False,60.0,1008.0,220560.0
9,None,False,64.0,1075.0,245510.0
9,None,True,64.0,1076.0,105790.0
8,3,True,64.0,1076.0,130740.0
9,3,False,63.0,1060.0,260480.0
9,3,True,64.0,1075.0,105790.0
0,None,False,59.0,991.0,255490.0
10,None,True,59.0,993.0,135730.0
10,None,False,61.0,1022.0,255490.0
0,None,True,60.0,1009.0,195610.0
0,3,True,60.0,1008.0,250500.0
0,3,False,63.0,1058.0,300400.0
10,3,True,62.0,1041.0,100800.0
10,3,False,63.0,1062.0,200600.0
1,None,False,64.0,1075.0,290420.0
1,None,True,64.0,1076.0,300400.0
1,3,True,64.0,1075.0,280440.0
1,3,False,64.0,1076.0,305390.0
2,None,False,64.0,1075.0,230540.0
2,None,True,59.0,991.0,235530.0
3,None,True,60.0,1008.0,255490.0
3,None,False,60.0,1009.0,210580.0
4,None,False,63.0,1062.0,220560.0
2,3,True,59.0,993.0,195610.0
2,3,False,60.0,1006.0,330340.0
3,3,True,62.0,1041.0,225550.0
3,3,False,63.0,1058.0,270460.0
4,None,True,64.0,1075.0,245510.0
5,None,False,64.0,1076.0,260480.0
5,None,True,64.0,1076.0,195610.0
4,3,True,63.0,1060.0,235530.0
4,3,False,64.0,1075.0,240520.0
6,None,False,60.0,1009.0,230540.0
7,None,False,62.0,1041.0,255490.0
6,None,True,63.0,1062.0,195610.0
7,None,True,63.0,1058.0,185630.0
5,3,False,59.0,991.0,255490.0
6,3,True,60.0,1006.0,125750.0
8,None,True,63.0,1060.0,135730.0
5,3,True,60.0,1008.0,205590.0
8,None,False,64.0,1076.0,240520.0
7,3,False,64.0,1076.0,280440.0
8,3,False,64.0,1075.0,240520.0
7,3,True,64.0,1076.0,135730.0
8,3,True,59.0,993.0,145710.0
0,None,False,63.0,1060.0,265470.0
10,None,True,60.0,1008.0,110780.0
9,None,True,60.0,1009.0,125750.0
9,None,False,62.0,1041.0,200600.0
10,3,False,59.0,991.0,245510.0
10,3,True,60.0,1006.0,95810.0
9,3,False,63.0,1058.0,280440.0
10,None,False,62.0,1041.0,185630.0
0,None,True,64.0,1074.0,325350.0
9,3,True,63.0,1062.0,100800.0
1,None,False,59.0,993.0,195610.0
0,3,False,64.0,1076.0,305390.0
0,3,True,64.0,1076.0,250500.0
1,None,True,64.0,1075.0,275450.0
3,None,True,64.0,1075.0,250500.0
4,None,False,64.0,1076.0,285430.0
3,None,False,64.0,1075.0,235530.0
4,None,True,64.0,1076.0,225550.0
2,None,True,59.0,991.0,240520.0
2,None,False,62.0,1041.0,225550.0
3,3,True,59.0,993.0,215570.0
2,3,False,60.0,1006.0,295410.0
1,3,False,60.0,1008.0,215570.0
1,3,True,60.0,1009.0,270460.0
2,3,True,63.0,1058.0,275450.0
3,3,False,63.0,1062.0,240520.0
4,3,False,64.0,1075.0,275450.0
5,None,False,64.0,1076.0,225550.0
5,None,True,64.0,1076.0,190620.0
5,3,False,64.0,1075.0,245510.0
4,3,True,64.0,1075.0,210580.0
7,None,False,60.0,1009.0,220560.0
6,None,True,60.0,1008.0,185630.0
6,None,False,62.0,1041.0,240520.0
7,None,True,63.0,1058.0,130740.0
5,3,True,59.0,991.0,195610.0
6,3,True,59.0,993.0,155690.0
6,3,False,60.0,1006.0,280440.0
7,3,False,63.0,1062.0,220560.0
7,3,True,64.0,1075.0,140720.0
8,None,False,62.0,1042.0,210580.0
8,None,True,64.0,1076.0,115770.0
8,3,True,64.0,1075.0,95810.0
8,3,False,64.0,1075.0,255490.0
10,None,True,59.0,991.0,120760.0
9,None,False,60.0,1008.0,210580.0
10,None,False,59.0,993.0,190620.0
9,None,True,60.0,1009.0,110780.0
9,3,False,62.0,1041.0,210580.0
9,3,True,63.0,1058.0,100800.0
10,3,True,63.0,1062.0,105790.0
0,None,False,64.0,1074.0,285430.0
0,None,True,64.0,1075.0,225550.0
1,None,True,60.0,1006.0,300400.0
1,None,False,64.0,1075.0,285430.0
0,3,True,64.0,1075.0,320360.0
0,3,False,64.0,1076.0,280440.0
2,3,False,64.0,1076.0,240520.0
2,None,False,59.0,993.0,245510.0
2,None,True,60.0,1009.0,225550.0
3,None,False,63.0,1062.0,170660.0
1,3,True,59.0,991.0,250500.0
1,3,False,60.0,1008.0,280440.0
2,3,True,63.0,1058.0,200600.0
3,None,True,64.0,1074.0,270460.0
3,3,False,60.0,1006.0,270460.0
4,None,True,64.0,1075.0,220560.0
4,None,False,64.0,1075.0,260480.0
3,3,True,64.0,1075.0,285430.0
4,3,False,64.0,1076.0,310380.0
4,3,True,64.0,1076.0,220560.0
5,None,True,63.0,1060.0,185630.0
5,None,False,59.0,993.0,170660.0
6,None,False,60.0,1008.0,225550.0
6,None,True,63.0,1058.0,195610.0
5,3,True,59.0,991.0,200600.0
6,3,False,60.0,1009.0,230540.0
5,3,False,63.0,1062.0,230540.0
6,3,True,60.0,1006.0,115770.0
7,None,False,64.0,1075.0,280440.0
7,None,True,64.0,1075.0,135730.0
7,3,True,64.0,1076.0,195610.0
7,3,False,64.0,1076.0,250500.0
8,None,False,64.0,1076.0,260480.0
8,None,True,63.0,1060.0,140720.0
9,None,True,59.0,991.0,125750.0
10,None,False,60.0,1006.0,250500.0
9,None,False,63.0,1058.0,215570.0
9,3,False,60.0,1009.0,250500.0
8,3,False,60.0,1008.0,215570.0
9,3,True,63.0,1062.0,115770.0
10,None,True,59.0,993.0,105790.0
0,None,True,64.0,1076.0,285430.0
0,None,False,64.0,1076.0,265470.0
0,3,False,64.0,1076.0,300400.0
0,3,True,64.0,1075.0,310380.0
10,3,False,64.0,1075.0,250500.0
10,3,True,64.0,1075.0,105790.0
1,None,False,59.0,991.0,225550.0
1,None,True,60.0,1006.0,290420.0
2,None,False,60.0,1009.0,235530.0
2,None,True,63.0,1062.0,235530.0
2,3,False,59.0,993.0,195610.0
1,3,True,60.0,1008.0,255490.0
1,3,False,63.0,1058.0,285430.0
4,None,False,64.0,1075.0,235530.0
3,None,False,64.0,1075.0,255490.0
3,None,True,64.0,1075.0,270460.0
3,3,False,64.0,1076.0,260480.0
3,3,True,64.0,1075.0,275450.0
2,3,True,64.0,1076.0,220560.0
4,None,True,59.0,991.0,220560.0
5,None,True,59.0,993.0,180640.0
5,None,False,63.0,1062.0,210580.0
4,3,False,60.0,1006.0,310380.0
5,3,False,60.0,1008.0,230540.0
4,3,True,60.0,1009.0,255490.0
5,3,True,63.0,1058.0,190620.0
7,None,False,64.0,1076.0,225550.0
6,None,True,64.0,1075.0,180640.0
6,None,False,64.0,1075.0,265470.0
7,None,True,64.0,1075.0,185630.0
6,3,False,64.0,1074.0,275450.0
6,3,True,64.0,1076.0,190620.0
8,None,True,60.0,1008.0,125750.0
9,None,False,63.0,1058.0,220560.0
8,None,False,63.0,1062.0,200600.0
7,3,False,59.0,991.0,255490.0
7,3,True,59.0,993.0,165670.0
8,3,False,60.0,1006.0,245510.0
8,3,True,60.0,1009.0,115770.0
9,None,True,64.0,1076.0,100800.0
10,None,False,64.0,1075.0,265470.0
10,None,True,64.0,1075.0,100800.0
9,3,True,64.0,1074.0,110780.0
10,3,False,64.0,1076.0,225550.0
9,3,False,64.0,1076.0,275450.0
1,None,False,59.0,993.0,190620.0
1,None,True,60.0,1009.0,215570.0
0,None,False,63.0,1058.0,290420.0
0,None,True,63.0,1062.0,255490.0
0,3,False,59.0,991.0,270460.0
0,3,True,60.0,1006.0,330340.0
10,3,True,60.0,1008.0,135730.0
2,None,True,64.0,1075.0,270460.0
1,3,False,64.0,1076.0,280440.0
1,3,True,64.0,1075.0,295410.0
2,3,False,64.0,1076.0,255490.0
2,3,True,64.0,1074.0,250500.0
3,None,False,64.0,1075.0,290420.0
5,None,False,64.0,1073.0,290420.0
3,None,True,59.0,993.0,200600.0
4,None,True,59.0,991.0,245510.0
4,None,False,63.0,1062.0,250500.0
5,None,True,64.0,1076.0,185630.0
6,None,False,64.0,1076.0,295410.0
4,3,False,60.0,1006.0,265470.0
3,3,False,60.0,1009.0,210580.0
3,3,True,63.0,1058.0,210580.0
5,3,False,63.0,1060.0,310380.0
5,3,True,64.0,1076.0,190620.0
6,None,True,64.0,1074.0,190620.0
7,None,False,64.0,1073.0,250500.0
6,3,True,60.0,1008.0,185630.0
7,None,True,59.0,993.0,155690.0
9,None,False,63.0,1058.0,185630.0
8,None,False,64.0,1076.0,260480.0
9,None,True,63.0,1060.0,120760.0
8,None,True,64.0,1075.0,110780.0
7,3,False,59.0,991.0,255490.0
8,3,False,60.0,1006.0,260480.0
8,3,True,60.0,1009.0,135730.0
7,3,True,63.0,1062.0,140720.0
9,3,False,64.0,1076.0,245510.0
9,3,True,64.0,1075.0,115770.0
10,None,False,64.0,1074.0,250500.0
10,None,True,60.0,1008.0,130740.0
0,None,True,63.0,1060.0,295410.0
1,3,True,64.0,1076.0,270460.0
10,3,True,64.0,1076.0,125750.0
0,3,True,64.0,1076.0,260480.0
1,None,False,60.0,1006.0,265470.0
1,None,True,60.0,1009.0,215570.0
0,None,False,63.0,1058.0,285430.0
0,3,False,59.0,991.0,275450.0
10,3,False,59.0,993.0,150700.0
2,None,False,64.0,1074.0,295410.0
1,3,False,63.0,1062.0,270460.0
2,None,True,64.0,1074.0,225550.0
2,3,False,60.0,1008.0,260480.0
2,3,True,63.0,1059.0,225550.0
3,None,True,64.0,1076.0,295410.0
5,None,False,64.0,1075.0,245510.0
4,None,True,60.0,1009.0,225550.0
3,3,False,64.0,1075.0,295410.0
4,None,False,63.0,1058.0,270460.0
5,None,True,63.0,1062.0,180640.0
4,3,False,59.0,991.0,260480.0
3,3,True,60.0,1006.0,240520.0
4,3,True,59.0,993.0,210580.0
5,3,False,64.0,1074.0,265470.0
5,3,True,60.0,1008.0,165670.0
6,None,False,64.0,1075.0,250500.0
6,None,True,64.0,1075.0,205590.0
7,None,True,64.0,1076.0,175650.0
6,3,False,64.0,1076.0,255490.0
6,3,True,64.0,1075.0,195610.0
8,None,False,59.0,991.0,230540.0
8,None,True,60.0,1006.0,150700.0
7,None,False,60.0,1009.0,215570.0
8,3,False,59.0,993.0,205590.0
9,None,False,60.0,1008.0,225550.0
7,3,True,63.0,1062.0,190620.0
7,3,False,63.0,1058.0,265470.0
8,3,True,64.0,1073.0,110780.0
9,None,True,64.0,1075.0,125750.0
9,3,False,64.0,1075.0,280440.0
9,3,True,64.0,1075.0,110780.0
10,None,False,64.0,1076.0,215570.0
10,None,True,64.0,1075.0,105790.0
1,None,True,64.0,1074.0,280440.0
0,None,True,59.0,993.0,200600.0
0,None,False,60.0,1009.0,215570.0
1,None,False,63.0,1062.0,250500.0
10,3,False,58.0,974.0,245510.0
0,3,False,60.0,1008.0,255490.0
10,3,True,60.0,1006.0,100800.0
0,3,True,63.0,1058.0,305390.0
1,3,False,64.0,1076.0,275450.0
1,3,True,64.0,1075.0,345310.0
2,None,False,62.0,1041.0,240520.0
2,None,True,64.0,1076.0,220560.0
2,3,False,64.0,1075.0,310380.0
2,3,True,64.0,1073.0,215570.0
3,None,False,59.0,993.0,190620.0
4,None,True,60.0,1006.0,240520.0
3,None,True,60.0,1009.0,200600.0
4,None,False,60.0,1008.0,225550.0
3,3,True,59.0,991.0,240520.0
3,3,False,63.0,1062.0,255490.0
4,3,False,63.0,1058.0,290420.0
5,None,False,64.0,1075.0,245510.0
5,None,True,62.0,1041.0,170660.0
4,3,True,63.0,1060.0,220560.0
5,3,False,64.0,1076.0,290420.0
5,3,True,64.0,1074.0,210580.0
6,None,False,64.0,1073.0,235530.0
7,None,True,58.0,974.0,135730.0
7,None,False,59.0,993.0,205590.0
6,None,True,60.0,1006.0,115770.0
6,3,False,60.0,1008.0,220560.0
7,3,False,63.0,1062.0,265470.0
7,3,True,63.0,1058.0,155690.0
6,3,True,64.0,1075.0,185630.0
8,None,True,62.0,1041.0,105790.0
8,None,False,64.0,1075.0,220560.0
8,3,False,63.0,1060.0,245510.0
8,3,True,64.0,1076.0,130740.0
9,None,False,64.0,1074.0,270460.0
9,None,True,64.0,1075.0,125750.0
0,None,False,64.0,1074.0,325350.0
10,None,False,60.0,1006.0,210580.0
10,None,True,60.0,1008.0,120760.0
0,None,True,62.0,1041.0,240520.0
9,3,False,59.0,991.0,260480.0
9,3,True,59.0,993.0,120760.0
10,3,False,63.0,1058.0,235530.0
10,3,True,63.0,1062.0,100800.0
1,None,False,64.0,1076.0,300400.0
0,3,True,63.0,1060.0,315370.0
0,3,False,64.0,1076.0,295410.0
1,None,True,64.0,1074.0,275450.0
1,3,False,64.0,1074.0,230540.0
1,3,True,64.0,1075.0,205590.0
3,None,False,59.0,993.0,220560.0
2,None,False,60.0,1006.0,280440.0
2,None,True,60.0,1008.0,235530.0
3,None,True,63.0,1058.0,235530.0
2,3,True,59.0,991.0,255490.0
2,3,False,62.0,1041.0,250500.0
3,3,False,63.0,1062.0,205590.0
4,None,True,63.0,1060.0,235530.0
4,None,False,64.0,1076.0,260480.0
3,3,True,64.0,1076.0,280440.0
4,3,True,64.0,1075.0,225550.0
4,3,False,64.0,1075.0,330340.0
5,None,False,64.0,1074.0,240520.0
6,None,True,59.0,991.0,185630.0
5,None,True,60.0,1008.0,170660.0
7,None,False,63.0,1060.0,265470.0
8,None,False,64.0,1075.0,265470.0
6,None,False,63.0,1058.0,240520.0
7,None,True,64.0,1076.0,150700.0
5,3,True,59.0,993.0,140720.0
5,3,False,60.0,1006.0,295410.0
7,3,False,64.0,1076.0,270460.0
6,3,True,63.0,1062.0,205590.0
7,3,True,64.0,1075.0,165670.0
8,None,True,62.0,1041.0,135730.0
8,3,False,64.0,1075.0,285430.0
0,None,True,64.0,1075.0,310380.0
10,None,False,64.0,1075.0,280440.0
9,None,True,64.0,1075.0,115770.0
9,3,True,64.0,1076.0,120760.0
10,3,True,64.0,1076.0,100800.0
9,None,False,60.0,1008.0,165670.0
10,None,True,60.0,1006.0,120760.0
0,None,False,62.0,1045.0,230540.0
8,3,True,59.0,991.0,115770.0
10,3,False,59.0,993.0,185630.0
9,3,False,63.0,1058.0,205590.0
0,3,False,62.0,1041.0,250500.0
0,3,True,64.0,1074.0,330340.0
1,None,True,64.0,1075.0,280440.0
1,None,False,64.0,1072.0,315370.0
2,None,False,64.0,1076.0,295410.0
1,3,False,64.0,1075.0,300400.0
1,3,True,64.0,1076.0,325350.0
4,None,False,64.0,1074.0,240520.0
3,None,False,59.0,991.0,275450.0
3,None,True,59.0,993.0,210580.0
2,None,True,60.0,1008.0,245510.0
2,3,False,60.0,1006.0,315370.0
3,3,True,62.0,1041.0,225550.0
3,3,False,63.0,1058.0,320360.0
2,3,True,63.0,1062.0,190620.0
6,None,True,59.0,993.0,150700.0
6,None,False,60.0,1008.0,235530.0
4,None,True,64.0,1076.0,190620.0
5,None,False,64.0,1076.0,245510.0
5,None,True,64.0,1075.0,175650.0
5,3,True,59.0,991.0,200600.0
5,3,False,60.0,1009.0,230540.0
4,3,True,63.0,1060.0,225550.0
4,3,False,64.0,1073.0,225550.0
7,None,False,62.0,1041.0,220560.0
7,None,True,63.0,1062.0,190620.0
6,3,False,60.0,1006.0,280440.0
6,3,True,63.0,1058.0,185630.0
9,None,False,60.0,1009.0,185630.0
7,3,False,59.0,991.0,265470.0
8,3,True,59.0,991.0,155690.0
7,3,True,59.0,993.0,200600.0
9,None,True,64.0,1075.0,115770.0
8,None,False,64.0,1076.0,265470.0
8,None,True,64.0,1076.0,100800.0
8,3,False,64.0,1074.0,265470.0
9,3,False,64.0,1075.0,245510.0
10,None,True,60.0,1006.0,105790.0
10,None,False,63.0,1062.0,195610.0
10,3,False,63.0,1058.0,190620.0
9,3,True,62.0,1041.0,95810.0
10,3,True,60.0,1009.0,100800.0
0,None,True,59.0,991.0,225550.0
0,None,False,60.0,1008.0,225550.0
0,3,False,59.0,993.0,165670.0
1,None,False,64.0,1075.0,255490.0
1,None,True,64.0,1076.0,280440.0
1,3,True,64.0,1075.0,250500.0
1,3,False,64.0,1075.0,315370.0
0,3,True,64.0,1076.0,310380.0
2,None,False,60.0,1006.0,255490.0
2,None,True,63.0,1062.0,225550.0
2,3,True,62.0,1041.0,190620.0
2,3,False,63.0,1058.0,270460.0
3,None,True,59.0,991.0,260480.0
3,None,False,60.0,1009.0,175650.0
3,3,False,60.0,1008.0,250500.0
3,3,True,59.0,993.0,205590.0
5,None,False,64.0,1075.0,250500.0
4,None,True,64.0,1075.0,205590.0
4,None,False,64.0,1076.0,290420.0
4,3,True,64.0,1075.0,220560.0
5,None,True,60.0,1006.0,220560.0
6,None,False,63.0,1058.0,235530.0
5,3,True,62.0,1041.0,190620.0
5,3,False,63.0,1062.0,220560.0
6,None,True,59.0,991.0,175650.0
7,None,False,60.0,1008.0,225550.0
6,3,True,59.0,993.0,155690.0
6,3,False,60.0,1009.0,265470.0
7,None,True,64.0,1075.0,210580.0
8,None,True,64.0,1075.0,145710.0
8,None,False,64.0,1074.0,215570.0
7,3,False,64.0,1076.0,255490.0
7,3,True,64.0,1073.0,140720.0
9,None,True,61.0,1029.0,115770.0
9,None,False,62.0,1041.0,260480.0
8,3,False,60.0,1006.0,280440.0
8,3,True,63.0,1058.0,130740.0
10,None,False,59.0,993.0,140720.0
10,None,True,60.0,1009.0,100800.0
9,3,True,59.0,991.0,120760.0
